Id,Key,Name,Category,Symbol,Abstract,Url,DetailUrl,RateUrl,Rating,TopEffect,TopMedical,TopActivity
1104,100-og,$100 OG,Hybrid,100,,http://www.leafly.com/hybrid/100-og,http://www.leafly.com/api/details/100-og,http://www.leafly.com/me/create/100-og,8.1,Euphoric,Stress,Relax at home
2113,707-headband,707 Headband,Hybrid,707,,http://www.leafly.com/hybrid/707-headband,http://www.leafly.com/api/details/707-headband,http://www.leafly.com/me/create/707-headband,8.1,Creative,Stress,Relax at home
153,a-10,A-10,Indica,A10,"A-10 has an earthy, hashy taste that provides a very heavy body stone.  Used to treat insomnia and chronic pain.",http://www.leafly.com/indica/a-10,http://www.leafly.com/api/details/a-10,http://www.leafly.com/me/create/a-10,8.2,Creative,Pain,Relax at home
1093,a-train,A-Train,Hybrid,Atr,A-train is a hybrid between afghani Mazar I Sharif and the clone-only Arcata e-32 Trainwreck,http://www.leafly.com/hybrid/a-train,http://www.leafly.com/api/details/a-train,http://www.leafly.com/me/create/a-train,5.8,Hungry,Lack of appetite,Watch a movie
4887,acapulco-gold,Acapulco Gold,Hybrid,Aca,"One of the most well-known strains, Acapulco Gold comes to us from the areas in and around Acapulco, Mexico. Orange hairs both light and dark are present, resembling a gold nugget.",http://www.leafly.com/hybrid/acapulco-gold,http://www.leafly.com/api/details/acapulco-gold,http://www.leafly.com/me/create/acapulco-gold,7.9,Creative,Stress,N/A
366,afgahni-bullrider,Afgahni Bullrider,Indica,Abr,,http://www.leafly.com/indica/afgahni-bullrider,http://www.leafly.com/api/details/afgahni-bullrider,http://www.leafly.com/me/create/afgahni-bullrider,8,Euphoric,Pain,Relax at home
290,afghan-big-bud,Afghan Big Bud,Hybrid,Abb,"Afghan Big Bud has the best of both parents, Afghan Kush and Big Bud with it's Afghan taste and Big Bud shape. ",http://www.leafly.com/hybrid/afghan-big-bud,http://www.leafly.com/api/details/afghan-big-bud,http://www.leafly.com/me/create/afghan-big-bud,7.4,Euphoric,Pain,Hang with friends
67,afghan-diesel,Afghan Diesel,Hybrid,Ad,"With it's citrus smell and taste, Afghan Diesel is described as tasting light and sweet.",http://www.leafly.com/hybrid/afghan-diesel,http://www.leafly.com/api/details/afghan-diesel,http://www.leafly.com/me/create/afghan-diesel,7.9,Euphoric,Stress,Relax at home
47,afghan-kush,Afghan Kush,Indica,Afk,"Originating from the Hindu Kush mountains of Afghanistan, Afghan Kush is very potent indica.  High THC level makes it great to heal whatever ails you.",http://www.leafly.com/indica/afghan-kush,http://www.leafly.com/api/details/afghan-kush,http://www.leafly.com/me/create/afghan-kush,7.7,Lazy,Stress,Relax at home
70,afghani,Afghani,Indica,Afg,"Afghani will provide the user with a very strong, almost narcotic, physical high.  Useful for treating insomnia and chronic pain.",http://www.leafly.com/indica/afghani,http://www.leafly.com/api/details/afghani,http://www.leafly.com/me/create/afghani,8.1,Lazy,Pain,Relax at home
3919,afghanica,Afghanica,Hybrid,Afg,A 65/35 indica/sativa hybrid that grows well in temperate regions.,http://www.leafly.com/hybrid/afghanica,http://www.leafly.com/api/details/afghanica,http://www.leafly.com/me/create/afghanica,7.8,Euphoric,Nausea,N/A
93,afghooey,Afghooey,Hybrid,Afy,"Afghooey is a nice potent and satisfying strain.  Soaring, potent and very very narcotic, the qualities and traits place Afghooey in the top tier of quality cannabis.",http://www.leafly.com/hybrid/afghooey,http://www.leafly.com/api/details/afghooey,http://www.leafly.com/me/create/afghooey,8.2,Euphoric,Stress,Relax at home
1482,afgoo,Afgoo,Indica,Afg,Afgoo is an indica-dominant strain that has a sweet and piney scent.,http://www.leafly.com/indica/afgoo,http://www.leafly.com/api/details/afgoo,http://www.leafly.com/me/create/afgoo,8,Euphoric,Insomnia,Relax at home
1682,afgooey,Afgooey,Indica,Afg,,http://www.leafly.com/indica/afgooey,http://www.leafly.com/api/details/afgooey,http://www.leafly.com/me/create/afgooey,7.5,Euphoric,Pain,N/A
206,afwreck,Afwreck,Hybrid,Afw,Afwreck is a hybrid cross of Afghani and Trainwreck.  Strong sativa effects with immediate head-concentrated high.,http://www.leafly.com/hybrid/afwreck,http://www.leafly.com/api/details/afwreck,http://www.leafly.com/me/create/afwreck,8.4,Happy,Stress,Listen to music
905,agent-orange,Agent Orange,Hybrid,Ago,An orange-smelling strain that has a citrus aftertaste.  Uplifting and almost trippy high can be experienced from this strain of cannabis.,http://www.leafly.com/hybrid/agent-orange,http://www.leafly.com/api/details/agent-orange,http://www.leafly.com/me/create/agent-orange,8,Uplifted,Stress,Relax at home
1,ak-47,AK-47,Hybrid,Ak,A great afghani kush cannabis strain that is mostly sativa but has all the good indica body stone characteristics.  Good for many medicinal uses but overdoing it will leave you glued to the couch.  ,http://www.leafly.com/hybrid/ak-47,http://www.leafly.com/api/details/ak-47,http://www.leafly.com/me/create/ak-47,7.8,Lazy,Stress,Relax at home
494,ak-48,AK-48,Hybrid,A48,AK-48 is an indica-dominant hybrid cannabis strain but the high leans definitely towards the sativa side of the spectrum.  AK-48 is known for dense buds and fast flowering with an exceptional aroma.,http://www.leafly.com/hybrid/ak-48,http://www.leafly.com/api/details/ak-48,http://www.leafly.com/me/create/ak-48,8,Uplifted,Stress,Watch a movie
227,alaskan-thunder-fuck,Alaskan Thunder Fuck,Sativa,Atf,"A strong sativa strain, Alaskan Thunder Fuck will have you feeling the effects soon after exhale.  Originates in the Manatuska Valley area in Alaska.",http://www.leafly.com/sativa/alaskan-thunder-fuck,http://www.leafly.com/api/details/alaskan-thunder-fuck,http://www.leafly.com/me/create/alaskan-thunder-fuck,8.3,Euphoric,Stress,Hang with friends
6772,alien-dawg,Alien Dawg,Indica,Adg," With a sour and punget odor, Alien Dawg has a light, bitter taste and presents a brilliant mind/body high.",http://www.leafly.com/indica/alien-dawg,http://www.leafly.com/api/details/alien-dawg,http://www.leafly.com/me/create/alien-dawg,8.7,Sleepy,Insomnia,N/A
3669,alien-kush,Alien Kush,Indica,Alk,,http://www.leafly.com/indica/alien-kush,http://www.leafly.com/api/details/alien-kush,http://www.leafly.com/me/create/alien-kush,7.1,Lazy,Pain,N/A
10703,alien-og,Alien OG,Hybrid,Ali,Alien OG is a strain cross from Tahoe OG and Alien Kush.,http://www.leafly.com/hybrid/alien-og,http://www.leafly.com/api/details/alien-og,http://www.leafly.com/me/create/alien-og,8.6,Euphoric,Stress,N/A
4196,allen-wrench,Allen Wrench,Sativa,Aw,"A popular strain for sativa-lovers, Allen Wrench presents the best qualities of it's parents, Trainwreck and New York City Diesel with crisp flavors of sour fruit. It's aroma has been characterized as sour, and flowery, leaving a fruity after-scent. ",http://www.leafly.com/sativa/allen-wrench,http://www.leafly.com/api/details/allen-wrench,http://www.leafly.com/me/create/allen-wrench,7.9,Happy,Insomnia,N/A
383,aloha,Aloha,Sativa,Alo,,http://www.leafly.com/sativa/aloha,http://www.leafly.com/api/details/aloha,http://www.leafly.com/me/create/aloha,6.1,Euphoric,Anxiety,Meditate
347,alohaberry,Alohaberry,Hybrid,Alo,"Originating from the tropical islands of Hawaii, Alohaberry releases an aroma and taste of tropical berries.  ",http://www.leafly.com/hybrid/alohaberry,http://www.leafly.com/api/details/alohaberry,http://www.leafly.com/me/create/alohaberry,8.5,Energetic,Stress,Create art
139,ambrosia,Ambrosia,Hybrid,Amb,"With a sweet tropical flavor and dense sticky buds, Ambrosia's high will hit you quick and throughout your body.",http://www.leafly.com/hybrid/ambrosia,http://www.leafly.com/api/details/ambrosia,http://www.leafly.com/me/create/ambrosia,7.3,Focused,Anxiety,Meditate
319,amethyst,Amethyst,Hybrid,Ame,Amethyst is a cross of Lavender and Afghani Hawaiian with deep purple color.  Strong and pungent smell with a relaxing high.,http://www.leafly.com/hybrid/amethyst,http://www.leafly.com/api/details/amethyst,http://www.leafly.com/me/create/amethyst,7.6,Creative,Stress,Hang with friends
261,amnesia-haze,Amnesia Haze,Hybrid,Amh,"A mostly sativa hybrid, Amnesia Haze won first prize a the Hightimes Cannabis Cup in '04.  Sativa looks, aroma, and high.",http://www.leafly.com/hybrid/amnesia-haze,http://www.leafly.com/api/details/amnesia-haze,http://www.leafly.com/me/create/amnesia-haze,8.3,Euphoric,Stress,Hang with friends
377,anesthesia,Anesthesia,Indica,An,,http://www.leafly.com/indica/anesthesia,http://www.leafly.com/api/details/anesthesia,http://www.leafly.com/me/create/anesthesia,8.5,Lazy,Insomnia,Relax at home
315,apollo-11,Apollo 11,Hybrid,Apo,,http://www.leafly.com/hybrid/apollo-11,http://www.leafly.com/api/details/apollo-11,http://www.leafly.com/me/create/apollo-11,8,Euphoric,Stress,Relax at home
326,arabian-gold,Arabian Gold,Sativa,Ag,,http://www.leafly.com/sativa/arabian-gold,http://www.leafly.com/api/details/arabian-gold,http://www.leafly.com/me/create/arabian-gold,7.7,Euphoric,Insomnia,Meditate
233,arjans-strawberry-haze,Arjan's Strawberry Haze,Sativa,Arj,Strawberry Haze is characterized by it's strawberry smell and sweet taste. It has a THC level up to 20% and CBD level of approximately 1.2%.,http://www.leafly.com/sativa/arjans-strawberry-haze,http://www.leafly.com/api/details/arjans-strawberry-haze,http://www.leafly.com/me/create/arjans-strawberry-haze,6.9,Euphoric,Stress,Create art
3607,armageddon,Armageddon,Hybrid,Arm,,http://www.leafly.com/hybrid/armageddon,http://www.leafly.com/api/details/armageddon,http://www.leafly.com/me/create/armageddon,7.7,Euphoric,Nausea,N/A
2515,asian-fantasy,Asian Fantasy,Sativa,Asi,,http://www.leafly.com/sativa/asian-fantasy,http://www.leafly.com/api/details/asian-fantasy,http://www.leafly.com/me/create/asian-fantasy,6.3,Aroused,Fatigue,Hang with friends
329,atomic-northern-lights,Atomic Northern Lights,Hybrid,Atn,"With an three-time Cannabis Cup winning parent, Atomic Northern Lights will leave you feeling a mind/body high with uplifting effects.",http://www.leafly.com/hybrid/atomic-northern-lights,http://www.leafly.com/api/details/atomic-northern-lights,http://www.leafly.com/me/create/atomic-northern-lights,8.7,Aroused,Stress,Watch a movie
121,avalon,Avalon,Hybrid,Ava,A selectively bred cross between Afghani and Blueberry.  Avalon has strong sedating effects with a hashy taste.,http://www.leafly.com/hybrid/avalon,http://www.leafly.com/api/details/avalon,http://www.leafly.com/me/create/avalon,7.8,Hungry,Lack of appetite,Relax at home
6487,banana-candy,Banana Candy,Indica,Ban,,http://www.leafly.com/indica/banana-candy,http://www.leafly.com/api/details/banana-candy,http://www.leafly.com/me/create/banana-candy,7,Aroused,PMS,N/A
